,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"control_contribution[2022-09-25T00:00:00.000000000, nps_score]",0.089,0.022,0.05,0.131,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2022-09-25T00:00:00.000000000, conversion_rate]",0.026,0.012,0.004,0.048,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2022-10-02T00:00:00.000000000, bounce_rate]",-0.119,0.022,-0.162,-0.08,0.0,0.0,2184.209,1572.564,1.0
"control_contribution[2022-10-02T00:00:00.000000000, session_duration]",0.111,0.023,0.069,0.154,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2022-10-02T00:00:00.000000000, pages_per_session]",0.142,0.023,0.097,0.185,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2022-10-02T00:00:00.000000000, nps_score]",0.053,0.013,0.03,0.078,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2022-10-02T00:00:00.000000000, conversion_rate]",0.033,0.015,0.005,0.061,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2022-10-09T00:00:00.000000000, bounce_rate]",-0.12,0.022,-0.164,-0.081,0.0,0.0,2184.209,1572.564,1.0
"control_contribution[2022-10-09T00:00:00.000000000, session_duration]",0.099,0.02,0.062,0.139,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2022-10-09T00:00:00.000000000, pages_per_session]",0.153,0.025,0.105,0.2,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2022-10-09T00:00:00.000000000, nps_score]",0.086,0.021,0.048,0.126,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2022-10-09T00:00:00.000000000, conversion_rate]",0.023,0.011,0.003,0.043,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2022-10-16T00:00:00.000000000, bounce_rate]",-0.138,0.025,-0.188,-0.093,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2022-10-16T00:00:00.000000000, session_duration]",0.092,0.019,0.057,0.129,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2022-10-16T00:00:00.000000000, pages_per_session]",0.055,0.009,0.038,0.072,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2022-10-16T00:00:00.000000000, nps_score]",0.059,0.015,0.033,0.087,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2022-10-16T00:00:00.000000000, conversion_rate]",0.024,0.011,0.003,0.045,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2022-10-23T00:00:00.000000000, bounce_rate]",-0.131,0.024,-0.178,-0.088,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2022-10-23T00:00:00.000000000, session_duration]",0.072,0.015,0.045,0.1,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2022-10-23T00:00:00.000000000, pages_per_session]",0.096,0.015,0.066,0.125,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2022-10-23T00:00:00.000000000, nps_score]",0.046,0.011,0.026,0.068,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2022-10-23T00:00:00.000000000, conversion_rate]",0.032,0.015,0.004,0.059,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2022-10-30T00:00:00.000000000, bounce_rate]",-0.16,0.029,-0.217,-0.107,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2022-10-30T00:00:00.000000000, session_duration]",0.091,0.019,0.056,0.127,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2022-10-30T00:00:00.000000000, pages_per_session]",0.115,0.018,0.079,0.15,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2022-10-30T00:00:00.000000000, nps_score]",0.041,0.01,0.023,0.06,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2022-10-30T00:00:00.000000000, conversion_rate]",0.016,0.007,0.002,0.03,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2022-11-06T00:00:00.000000000, bounce_rate]",-0.128,0.023,-0.174,-0.086,0.0,0.0,2184.209,1572.564,1.0
"control_contribution[2022-11-06T00:00:00.000000000, session_duration]",0.079,0.016,0.049,0.111,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2022-11-06T00:00:00.000000000, pages_per_session]",0.143,0.023,0.098,0.186,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2022-11-06T00:00:00.000000000, nps_score]",0.068,0.017,0.038,0.1,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2022-11-06T00:00:00.000000000, conversion_rate]",0.049,0.022,0.007,0.09,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2022-11-13T00:00:00.000000000, bounce_rate]",-0.149,0.027,-0.202,-0.1,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2022-11-13T00:00:00.000000000, session_duration]",0.054,0.011,0.033,0.075,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2022-11-13T00:00:00.000000000, pages_per_session]",0.102,0.016,0.07,0.133,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2022-11-13T00:00:00.000000000, nps_score]",0.042,0.01,0.024,0.062,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2022-11-13T00:00:00.000000000, conversion_rate]",0.023,0.01,0.003,0.042,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2022-11-20T00:00:00.000000000, bounce_rate]",-0.136,0.025,-0.185,-0.091,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2022-11-20T00:00:00.000000000, session_duration]",0.084,0.017,0.052,0.117,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2022-11-20T00:00:00.000000000, pages_per_session]",0.113,0.018,0.077,0.147,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2022-11-20T00:00:00.000000000, nps_score]",0.059,0.014,0.033,0.086,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2022-11-20T00:00:00.000000000, conversion_rate]",0.032,0.015,0.004,0.059,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2022-11-27T00:00:00.000000000, bounce_rate]",-0.143,0.026,-0.195,-0.096,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2022-11-27T00:00:00.000000000, session_duration]",0.082,0.017,0.051,0.114,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2022-11-27T00:00:00.000000000, pages_per_session]",0.083,0.013,0.057,0.109,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2022-11-27T00:00:00.000000000, nps_score]",0.083,0.02,0.046,0.122,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2022-11-27T00:00:00.000000000, conversion_rate]",0.041,0.019,0.006,0.077,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2022-12-04T00:00:00.000000000, bounce_rate]",-0.131,0.024,-0.178,-0.088,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2022-12-04T00:00:00.000000000, session_duration]",0.105,0.021,0.065,0.146,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2022-12-04T00:00:00.000000000, pages_per_session]",0.074,0.012,0.05,0.096,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2022-12-04T00:00:00.000000000, nps_score]",0.052,0.013,0.029,0.077,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2022-12-04T00:00:00.000000000, conversion_rate]",0.025,0.011,0.003,0.047,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2022-12-11T00:00:00.000000000, bounce_rate]",-0.154,0.028,-0.209,-0.103,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2022-12-11T00:00:00.000000000, session_duration]",0.043,0.009,0.027,0.059,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2022-12-11T00:00:00.000000000, pages_per_session]",0.151,0.024,0.104,0.197,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2022-12-11T00:00:00.000000000, nps_score]",0.079,0.019,0.044,0.116,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2022-12-11T00:00:00.000000000, conversion_rate]",0.014,0.006,0.002,0.025,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2022-12-18T00:00:00.000000000, bounce_rate]",-0.154,0.028,-0.21,-0.103,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2022-12-18T00:00:00.000000000, session_duration]",0.089,0.018,0.055,0.124,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2022-12-18T00:00:00.000000000, pages_per_session]",0.066,0.011,0.045,0.086,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2022-12-18T00:00:00.000000000, nps_score]",0.037,0.009,0.021,0.055,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2022-12-18T00:00:00.000000000, conversion_rate]",0.028,0.013,0.004,0.053,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2022-12-25T00:00:00.000000000, bounce_rate]",-0.148,0.027,-0.201,-0.099,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2022-12-25T00:00:00.000000000, session_duration]",0.063,0.013,0.039,0.088,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2022-12-25T00:00:00.000000000, pages_per_session]",0.174,0.028,0.119,0.226,0.001,0.0,3056.213,1420.742,1.002
"control_contribution[2022-12-25T00:00:00.000000000, nps_score]",0.049,0.012,0.027,0.071,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2022-12-25T00:00:00.000000000, conversion_rate]",0.025,0.011,0.003,0.047,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-01-01T00:00:00.000000000, bounce_rate]",-0.151,0.027,-0.206,-0.101,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-01-01T00:00:00.000000000, session_duration]",0.091,0.019,0.056,0.127,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-01-01T00:00:00.000000000, pages_per_session]",0.132,0.021,0.091,0.172,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-01-01T00:00:00.000000000, nps_score]",0.034,0.008,0.019,0.05,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-01-01T00:00:00.000000000, conversion_rate]",0.014,0.006,0.002,0.026,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-01-08T00:00:00.000000000, bounce_rate]",-0.114,0.021,-0.155,-0.076,0.0,0.0,2184.209,1572.564,1.0
"control_contribution[2023-01-08T00:00:00.000000000, session_duration]",0.092,0.019,0.057,0.128,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-01-08T00:00:00.000000000, pages_per_session]",0.131,0.021,0.09,0.171,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-01-08T00:00:00.000000000, nps_score]",0.059,0.014,0.033,0.086,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-01-08T00:00:00.000000000, conversion_rate]",0.034,0.016,0.005,0.064,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-01-15T00:00:00.000000000, bounce_rate]",-0.145,0.026,-0.196,-0.097,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-01-15T00:00:00.000000000, session_duration]",0.083,0.017,0.052,0.116,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-01-15T00:00:00.000000000, pages_per_session]",0.128,0.021,0.088,0.167,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-01-15T00:00:00.000000000, nps_score]",0.07,0.017,0.039,0.103,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-01-15T00:00:00.000000000, conversion_rate]",0.034,0.015,0.005,0.063,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-01-22T00:00:00.000000000, bounce_rate]",-0.167,0.03,-0.227,-0.112,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-01-22T00:00:00.000000000, session_duration]",0.1,0.02,0.062,0.139,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-01-22T00:00:00.000000000, pages_per_session]",0.107,0.017,0.073,0.139,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-01-22T00:00:00.000000000, nps_score]",0.059,0.014,0.033,0.086,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-01-22T00:00:00.000000000, conversion_rate]",0.041,0.019,0.006,0.077,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-01-29T00:00:00.000000000, bounce_rate]",-0.149,0.027,-0.202,-0.099,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-01-29T00:00:00.000000000, session_duration]",0.061,0.013,0.038,0.085,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-01-29T00:00:00.000000000, pages_per_session]",0.124,0.02,0.085,0.161,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-01-29T00:00:00.000000000, nps_score]",0.077,0.019,0.043,0.114,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-01-29T00:00:00.000000000, conversion_rate]",0.023,0.011,0.003,0.043,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-02-05T00:00:00.000000000, bounce_rate]",-0.112,0.02,-0.152,-0.075,0.0,0.0,2184.209,1572.564,1.0
"control_contribution[2023-02-05T00:00:00.000000000, session_duration]",0.106,0.022,0.066,0.147,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-02-05T00:00:00.000000000, pages_per_session]",0.109,0.017,0.074,0.141,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-02-05T00:00:00.000000000, nps_score]",0.045,0.011,0.025,0.066,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-02-05T00:00:00.000000000, conversion_rate]",0.019,0.009,0.003,0.036,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-02-12T00:00:00.000000000, bounce_rate]",-0.135,0.025,-0.184,-0.091,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-02-12T00:00:00.000000000, session_duration]",0.071,0.015,0.044,0.1,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-02-12T00:00:00.000000000, pages_per_session]",0.128,0.02,0.088,0.166,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-02-12T00:00:00.000000000, nps_score]",0.061,0.015,0.034,0.09,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-02-12T00:00:00.000000000, conversion_rate]",0.029,0.013,0.004,0.054,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-02-19T00:00:00.000000000, bounce_rate]",-0.146,0.026,-0.198,-0.098,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-02-19T00:00:00.000000000, session_duration]",0.055,0.011,0.034,0.077,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-02-19T00:00:00.000000000, pages_per_session]",0.113,0.018,0.077,0.147,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-02-19T00:00:00.000000000, nps_score]",0.049,0.012,0.027,0.072,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-02-19T00:00:00.000000000, conversion_rate]",0.031,0.014,0.004,0.058,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-02-26T00:00:00.000000000, bounce_rate]",-0.118,0.021,-0.161,-0.079,0.0,0.0,2184.209,1572.564,1.0
"control_contribution[2023-02-26T00:00:00.000000000, session_duration]",0.08,0.016,0.049,0.111,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-02-26T00:00:00.000000000, pages_per_session]",0.089,0.014,0.061,0.116,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-02-26T00:00:00.000000000, nps_score]",0.063,0.016,0.035,0.093,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-02-26T00:00:00.000000000, conversion_rate]",0.039,0.018,0.005,0.073,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-03-05T00:00:00.000000000, bounce_rate]",-0.104,0.019,-0.141,-0.069,0.0,0.0,2184.209,1572.564,1.0
"control_contribution[2023-03-05T00:00:00.000000000, session_duration]",0.045,0.009,0.028,0.063,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-03-05T00:00:00.000000000, pages_per_session]",0.091,0.015,0.062,0.118,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-03-05T00:00:00.000000000, nps_score]",0.066,0.016,0.037,0.096,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-03-05T00:00:00.000000000, conversion_rate]",0.043,0.02,0.006,0.081,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-03-12T00:00:00.000000000, bounce_rate]",-0.129,0.023,-0.175,-0.086,0.0,0.0,2184.209,1572.564,1.0
"control_contribution[2023-03-12T00:00:00.000000000, session_duration]",0.089,0.018,0.056,0.125,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-03-12T00:00:00.000000000, pages_per_session]",0.088,0.014,0.06,0.114,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-03-12T00:00:00.000000000, nps_score]",0.067,0.016,0.037,0.098,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-03-12T00:00:00.000000000, conversion_rate]",0.042,0.019,0.006,0.078,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-03-19T00:00:00.000000000, bounce_rate]",-0.119,0.021,-0.161,-0.079,0.0,0.0,2184.209,1572.564,1.0
"control_contribution[2023-03-19T00:00:00.000000000, session_duration]",0.08,0.016,0.05,0.111,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-03-19T00:00:00.000000000, pages_per_session]",0.139,0.022,0.095,0.181,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-03-19T00:00:00.000000000, nps_score]",0.04,0.01,0.022,0.059,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-03-19T00:00:00.000000000, conversion_rate]",0.034,0.016,0.005,0.064,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-03-26T00:00:00.000000000, bounce_rate]",-0.136,0.025,-0.185,-0.091,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-03-26T00:00:00.000000000, session_duration]",0.108,0.022,0.067,0.151,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-03-26T00:00:00.000000000, pages_per_session]",0.098,0.016,0.067,0.127,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-03-26T00:00:00.000000000, nps_score]",0.043,0.011,0.024,0.063,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-03-26T00:00:00.000000000, conversion_rate]",0.038,0.018,0.005,0.072,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-04-02T00:00:00.000000000, bounce_rate]",-0.098,0.018,-0.133,-0.066,0.0,0.0,2184.209,1572.564,1.0
"control_contribution[2023-04-02T00:00:00.000000000, session_duration]",0.097,0.02,0.06,0.135,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-04-02T00:00:00.000000000, pages_per_session]",0.064,0.01,0.044,0.083,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-04-02T00:00:00.000000000, nps_score]",0.046,0.011,0.026,0.067,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-04-02T00:00:00.000000000, conversion_rate]",0.027,0.012,0.004,0.05,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-04-09T00:00:00.000000000, bounce_rate]",-0.15,0.027,-0.204,-0.101,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-04-09T00:00:00.000000000, session_duration]",0.058,0.012,0.036,0.082,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-04-09T00:00:00.000000000, pages_per_session]",0.124,0.02,0.085,0.161,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-04-09T00:00:00.000000000, nps_score]",0.053,0.013,0.03,0.078,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-04-09T00:00:00.000000000, conversion_rate]",0.033,0.015,0.005,0.062,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-04-16T00:00:00.000000000, bounce_rate]",-0.121,0.022,-0.165,-0.081,0.0,0.0,2184.209,1572.564,1.0
"control_contribution[2023-04-16T00:00:00.000000000, session_duration]",0.069,0.014,0.043,0.096,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-04-16T00:00:00.000000000, pages_per_session]",0.153,0.024,0.105,0.199,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-04-16T00:00:00.000000000, nps_score]",0.059,0.014,0.033,0.086,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-04-16T00:00:00.000000000, conversion_rate]",0.023,0.01,0.003,0.042,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-04-23T00:00:00.000000000, bounce_rate]",-0.161,0.029,-0.219,-0.108,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-04-23T00:00:00.000000000, session_duration]",0.094,0.019,0.059,0.132,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-04-23T00:00:00.000000000, pages_per_session]",0.134,0.021,0.092,0.174,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-04-23T00:00:00.000000000, nps_score]",0.069,0.017,0.038,0.101,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-04-23T00:00:00.000000000, conversion_rate]",0.033,0.015,0.005,0.061,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-04-30T00:00:00.000000000, bounce_rate]",-0.13,0.024,-0.177,-0.087,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-04-30T00:00:00.000000000, session_duration]",0.101,0.021,0.063,0.14,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-04-30T00:00:00.000000000, pages_per_session]",0.098,0.016,0.067,0.128,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-04-30T00:00:00.000000000, nps_score]",0.043,0.011,0.024,0.064,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-04-30T00:00:00.000000000, conversion_rate]",0.033,0.015,0.005,0.061,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-05-07T00:00:00.000000000, bounce_rate]",-0.136,0.025,-0.185,-0.091,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-05-07T00:00:00.000000000, session_duration]",0.108,0.022,0.067,0.15,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-05-07T00:00:00.000000000, pages_per_session]",0.072,0.012,0.05,0.094,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-05-07T00:00:00.000000000, nps_score]",0.031,0.008,0.017,0.046,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-05-07T00:00:00.000000000, conversion_rate]",0.046,0.021,0.006,0.085,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-05-14T00:00:00.000000000, bounce_rate]",-0.133,0.024,-0.18,-0.089,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-05-14T00:00:00.000000000, session_duration]",0.108,0.022,0.067,0.15,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-05-14T00:00:00.000000000, pages_per_session]",0.11,0.018,0.075,0.143,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-05-14T00:00:00.000000000, nps_score]",0.093,0.023,0.052,0.136,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-05-14T00:00:00.000000000, conversion_rate]",0.03,0.014,0.004,0.056,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-05-21T00:00:00.000000000, bounce_rate]",-0.12,0.022,-0.163,-0.08,0.0,0.0,2184.209,1572.564,1.0
"control_contribution[2023-05-21T00:00:00.000000000, session_duration]",0.083,0.017,0.052,0.116,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-05-21T00:00:00.000000000, pages_per_session]",0.109,0.017,0.075,0.142,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-05-21T00:00:00.000000000, nps_score]",0.039,0.01,0.022,0.057,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-05-21T00:00:00.000000000, conversion_rate]",0.033,0.015,0.005,0.061,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-05-28T00:00:00.000000000, bounce_rate]",-0.197,0.036,-0.267,-0.132,0.001,0.001,2184.209,1572.564,1.0
"control_contribution[2023-05-28T00:00:00.000000000, session_duration]",0.092,0.019,0.057,0.128,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-05-28T00:00:00.000000000, pages_per_session]",0.088,0.014,0.06,0.115,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-05-28T00:00:00.000000000, nps_score]",0.071,0.017,0.04,0.104,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-05-28T00:00:00.000000000, conversion_rate]",0.034,0.016,0.005,0.063,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-06-04T00:00:00.000000000, bounce_rate]",-0.125,0.023,-0.169,-0.083,0.0,0.0,2184.209,1572.564,1.0
"control_contribution[2023-06-04T00:00:00.000000000, session_duration]",0.109,0.022,0.068,0.152,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-06-04T00:00:00.000000000, pages_per_session]",0.128,0.02,0.088,0.166,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-06-04T00:00:00.000000000, nps_score]",0.058,0.014,0.032,0.085,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-06-04T00:00:00.000000000, conversion_rate]",0.028,0.013,0.004,0.053,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-06-11T00:00:00.000000000, bounce_rate]",-0.162,0.029,-0.22,-0.108,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-06-11T00:00:00.000000000, session_duration]",0.079,0.016,0.049,0.11,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-06-11T00:00:00.000000000, pages_per_session]",0.161,0.026,0.111,0.21,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-06-11T00:00:00.000000000, nps_score]",0.061,0.015,0.034,0.09,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-06-11T00:00:00.000000000, conversion_rate]",0.026,0.012,0.004,0.048,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-06-18T00:00:00.000000000, bounce_rate]",-0.11,0.02,-0.15,-0.074,0.0,0.0,2184.209,1572.564,1.0
"control_contribution[2023-06-18T00:00:00.000000000, session_duration]",0.092,0.019,0.057,0.128,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-06-18T00:00:00.000000000, pages_per_session]",0.119,0.019,0.082,0.155,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-06-18T00:00:00.000000000, nps_score]",0.057,0.014,0.032,0.084,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-06-18T00:00:00.000000000, conversion_rate]",0.042,0.019,0.006,0.079,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-06-25T00:00:00.000000000, bounce_rate]",-0.146,0.026,-0.198,-0.097,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-06-25T00:00:00.000000000, session_duration]",0.079,0.016,0.049,0.11,0.0,0.0,2440.026,1349.841,1.001
"control_contribution[2023-06-25T00:00:00.000000000, pages_per_session]",0.118,0.019,0.081,0.153,0.0,0.0,3056.213,1420.742,1.002
"control_contribution[2023-06-25T00:00:00.000000000, nps_score]",0.051,0.013,0.028,0.075,0.0,0.0,2774.916,1321.958,1.0
"control_contribution[2023-06-25T00:00:00.000000000, conversion_rate]",0.024,0.011,0.003,0.045,0.0,0.0,2817.533,1343.844,1.0
"control_contribution[2023-07-02T00:00:00.000000000, bounce_rate]",-0.148,0.027,-0.202,-0.099,0.001,0.0,2184.209,1572.564,1.0
"control_contribution[2023-07-02T00:00:00.000000000, session_duration]",0.074,0.015,0.046,0.104,0.0,0.0,2440.026,1349.841,1.001
